stations;date_heure;temperature_air;temperature_eau;salinite_surface;salinite_milieu;salinite_fond
Sonde SA1;16/04/2024  14h00;14.4°C;15,3°C;21;21;21,3
Sonde SA3;16/04/2024  14h30;14.4°C;16,2°C;20,5;0,2;20,6
Sonde SA1;16/04/2024  15h00;14.9°C;15,5°C;21;21;21,1
Sonde SA3;16/04/2024  15h00;14.9°C;16,2°C;20,5;0,2;20,6
Sonde SA1;16/04/2024  16h00;15.4°C;15,6°C;20,9;21;21,1
Sonde SA3;16/04/2024  16h00;15.4°C;16,2°C;20,6;0,2;20,6
Sonde SA1;16/04/2024  17h00;15.9°C;15,8°C;20,8;20,8;21,1
Sonde SA3;16/04/2024  17h30;15.9°C;16,3°C;20,5;0,2;20,6
Sonde SA1;16/04/2024  18h00;15.8°C;15,6°C;20,8;20,8;21
Sonde SA3;16/04/2024  18h30;15.8°C;16,3°C;20,4;0,2;20,5
Sonde SA1;16/04/2024  19h00;15.7°C;15,8°C;20,7;20,8;20,9
Sonde SA3;16/04/2024  19h30;15.7°C;16,4°C;20,4;0,2;20,4
Sonde SA1;16/04/2024  20h00;15.1°C;15,7°C;20,7;20,7;20,9
Sonde SA3;16/04/2024  20h30;15.1°C;16,8°C;20,3;0,2;20,3
Sonde SA1;16/04/2024  21h00;14.7°C;15,6°C;20,8;20,8;22
Sonde SA3;16/04/2024  21h00;14.7°C;16,9°C;20,3;0,2;20,4
Sonde SA1;16/04/2024  22h00;14.3°C;15,6°C;20,9;21,1;21,7
Sonde SA3;16/04/2024  22h00;14.3°C;16,8°C;20,3;0,2;20,4
Sonde SA1;16/04/2024  23h00;13.8°C;15,4°C;20,9;20,9;21,6
Sonde SA3;16/04/2024  23h30;13.8°C;16,4°C;20,4;0,2;20,4
Sonde SA1;17/04/2024  02h00;11.9°C;15,2°C;20,9;21,1;21,6
Sonde SA3;17/04/2024  02h00;11.9°C;16,1°C;20,4;0,2;20,4
Sonde SA1;17/04/2024  03h00;11.5°C;15,2°C;20,9;21;21,2
Sonde SA3;17/04/2024  03h00;11.5°C;16,1°C;20,4;0,2;20,5
Sonde SA1;17/04/2024  04h00;10.8°C;15,2°C;21;21;21,1
Sonde SA3;17/04/2024  04h00;10.8°C;16,1°C;20,3;0,2;20,5
Sonde SA1;17/04/2024  05h00;9.8°C;15,1°C;21;21;21,1
Sonde SA3;17/04/2024  05h00;9.8°C;16,3°C;20,3;0,2;20,5
Sonde SA1;17/04/2024  06h00;10.5°C;15,1°C;21;21;21
Sonde SA3;17/04/2024  06h00;10.5°C;16,2°C;20,3;0,2;20,5
Sonde SA1;17/04/2024  07h00;10.5°C;15,1°C;21;21;21,1
Sonde SA3;17/04/2024  07h00;10.5°C;15,9°C;20,4;0,2;20,6
Sonde SA1;17/04/2024  08h00;10.7°C;15°C;21;21;21
Sonde SA3;17/04/2024  08h00;10.7°C;15,8°C;20,5;0,2;20,8
Sonde SA1;17/04/2024  09h00;11.2°C;15°C;21;21;21,1
Sonde SA3;17/04/2024  09h30;11.2°C;15,7°C;20,6;0,2;20,9
Sonde SA1;17/04/2024  10h00;11.7°C;15°C;21;21,1;21,1
Sonde SA3;17/04/2024  10h30;11.7°C;15,8°C;20,6;0,2;20,8
