stations;date_heure;temperature_air;temperature_eau;salinite_surface;salinite_milieu;salinite_fond
Sonde SA1;21/04/2024  21h00;11°C;13,5°C;21,3;21,3;21,4
Sonde SA3;21/04/2024  21h00;11°C;14°C;22;0,2;22
Sonde SA1;21/04/2024  22h00;10.1°C;13,6°C;21,5;21,5;21,5
Sonde SA3;21/04/2024  22h00;10.1°C;13,9°C;22;0,2;22
Sonde SA1;21/04/2024  23h00;9.9°C;13,3°C;21,5;21,5;21,6
Sonde SA3;21/04/2024  23h00;9.9°C;13,8°C;22;0,2;22
Sonde SA1;22/04/2024  02h00;8.6°C;13°C;21,4;21,4;21,5
Sonde SA3;22/04/2024  02h00;8.6°C;13,6°C;22,2;0,2;22,2
Sonde SA1;22/04/2024  03h00;7.8°C;13°C;21,5;21,4;21,5
Sonde SA3;22/04/2024  03h00;7.8°C;13,6°C;22,2;0,2;22,2
Sonde SA1;22/04/2024  04h00;7.7°C;13°C;21,4;21,4;21,5
Sonde SA3;22/04/2024  04h00;7.7°C;13,5°C;22,3;0,2;22,3
Sonde SA1;22/04/2024  05h00;7.6°C;12,9°C;21,4;21,3;21,4
Sonde SA3;22/04/2024  05h00;7.6°C;13,3°C;22,3;0,2;22,3
Sonde SA1;22/04/2024  06h00;7.2°C;12,5°C;21,2;21,2;21,3
Sonde SA3;22/04/2024  06h00;7.2°C;13,3°C;22,3;0,2;22,4
Sonde SA1;22/04/2024  07h00;7.3°C;12,5°C;21,3;21,2;21,3
Sonde SA3;22/04/2024  07h00;7.3°C;13,3°C;22,3;0,2;22,3
Sonde SA1;22/04/2024  08h00;7.4°C;13°C;21,6;21,5;21,6
Sonde SA3;22/04/2024  08h00;7.4°C;13,3°C;22,2;0,2;22,2
Sonde SA1;22/04/2024  09h00;7.8°C;13°C;21,8;21,8;21,8
Sonde SA3;22/04/2024  09h00;7.8°C;13,3°C;22,1;0,2;22,1
Sonde SA1;22/04/2024  10h00;8.3°C;13,2°C;22;22;22
Sonde SA3;22/04/2024  10h00;8.3°C;13,3°C;22,1;0,2;22,1
Sonde SA1;22/04/2024  11h00;9.1°C;13,2°C;22;22;22,1
Sonde SA3;22/04/2024  11h00;9.1°C;13,2°C;22,1;0,2;22,2
Sonde SA1;22/04/2024  12h00;9.4°C;13,2°C;22,2;22,2;22,2
Sonde SA3;22/04/2024  12h00;9.4°C;13,2°C;22,2;0,2;22,7
Sonde SA1;22/04/2024  13h00;10°C;13,2°C;22,3;22,2;22,3
Sonde SA3;22/04/2024  13h00;10°C;13,3°C;22,3;0,2;22,8
Sonde SA1;22/04/2024  14h00;10.5°C;13,3°C;22,3;22,3;22,4
Sonde SA3;22/04/2024  14h00;10.5°C;13,2°C;22,3;0,2;22,8
Sonde SA1;22/04/2024  15h00;10.6°C;13,3°C;22,4;22,3;22,4
Sonde SA3;22/04/2024  15h00;10.6°C;13,2°C;22,4;0,2;22,9
Sonde SA1;22/04/2024  16h00;11°C;13,1°C;22;22,1;22,2
Sonde SA3;22/04/2024  16h00;11°C;13,2°C;22,4;0,2;22,9
Sonde SA1;22/04/2024  17h00;10.6°C;13°C;21,9;21,9;22
Sonde SA3;22/04/2024  17h00;10.6°C;13,2°C;22,4;0,2;22,9
Sonde SA1;22/04/2024  18h00;10.7°C;12,9°C;21,8;21,7;21,9
Sonde SA3;22/04/2024  18h00;10.7°C;13,1°C;22,5;0,2;23
Sonde SA1;22/04/2024  19h00;11°C;12,8°C;21,7;21,7;21,8
Sonde SA3;22/04/2024  19h00;11°C;13,1°C;22,5;0,2;23
Sonde SA1;22/04/2024  20h00;10.8°C;12,7°C;21,6;21,5;21,6
Sonde SA3;22/04/2024  20h00;10.8°C;13,1°C;22,5;0,2;23
Sonde SA1;22/04/2024  21h00;10.6°C;12,6°C;21,7;21,6;21,7
Sonde SA3;22/04/2024  21h00;10.6°C;13,1°C;22,5;0,2;23
Sonde SA1;22/04/2024  22h00;10.3°C;12,3°C;21,5;21,4;21,5
Sonde SA3;22/04/2024  22h00;10.3°C;13,1°C;22,5;0,2;23
Sonde SA1;22/04/2024  23h00;9.9°C;11,9°C;21,3;21,3;21,3
Sonde SA3;22/04/2024  23h00;9.9°C;13°C;22,4;0,2;22,9
Sonde SA1;23/04/2024  02h00;9.3°C;12°C;21,4;21,3;21,4
Sonde SA3;23/04/2024  02h00;9.3°C;12,9°C;22,4;0,2;23
Sonde SA1;23/04/2024  03h00;9.1°C;12,5°C;22,1;22,1;22,1
Sonde SA3;23/04/2024  03h00;9.1°C;12,9°C;22,4;0,2;23
Sonde SA1;23/04/2024  04h00;8.9°C;12,5°C;22,4;22,3;22,4
Sonde SA3;23/04/2024  04h00;8.9°C;12,7°C;22,5;0,2;23
Sonde SA1;23/04/2024  05h00;8.7°C;12,5°C;22,4;22,4;22,5
Sonde SA3;23/04/2024  05h00;8.7°C;12,7°C;22,4;0,2;23
Sonde SA1;23/04/2024  06h00;8.4°C;12,3°C;22,1;22;22,1
Sonde SA3;23/04/2024  06h00;8.4°C;12,7°C;22,4;0,2;22,9
Sonde SA1;23/04/2024  07h00;7.8°C;12,3°C;22;21,9;22
Sonde SA3;23/04/2024  07h00;7.8°C;12,7°C;22,3;0,2;22,8
Sonde SA1;23/04/2024  08h00;8.1°C;12,2°C;21,9;21,8;21,9
Sonde SA3;23/04/2024  08h00;8.1°C;12,7°C;22,3;0,2;22,8
Sonde SA1;23/04/2024  09h00;8.5°C;12,2°C;21,8;21,7;21,8
Sonde SA3;23/04/2024  09h00;8.5°C;12,7°C;22,3;0,2;22,8
